phase, amp_volt, inp_volt, phase_err, amp_err, inp_err, infrq,   inferr,
0.0,   1.22,     2.8,      1.5,       0.04,    0.04,    13080,   20,
87.1,  0.24,     3.4,      4.5,       0.04,    0.04,    7200,    200,
80,0,  0.28,     3.4,      1.5,       0.04,    0.04,    8150,    20,
76.5,  0.36,     3.36,     2.0,       0.04,    0.04,    9065,    20,
70.0,  0.496,    3.32,     1.0,       0.04,    0.04,    10150,   20,
58.7,  0.720,    3.20,     1.5,       0.04,    0.04,    11225,   25,
31.0,  1.1,      2.96,     1.5,       0.04,    0.04,    12330,   30,
-32.5, 1.08,     2.96,     1.5,       0.04,    0.04,    13880,   40,
-52.2, 0.820,    3.12,     1.5,       0.04,    0.04,    14920,   50,
-62.5, 0.640,    3.28,     1.5,       0.04,    0.04,    15930,   50,
-69.0, 0.540,    3.28,     2.0,       0.04,    0.04,    16890,   150,
-72.3, 0.408,    3.36,     2.0,       0.04,    0.04,    18050,   60,
-79.5, 0.248,    3.36,     1.5,       0.04,    0.04,    22490,   150,
35.0,  3.36,     8.56,     1.5,       0.04,    0.04,    12400,   200,
30.4,  3.52,     8.48,     1.0,       0.04,    0.04,    12600,   200,
24.8,  3.68,     8.32,     1.0,       0.04,    0.04,    12800,   200,
18.5,  3.76,     8.24,     1.0,       0.04,    0.04,    13000,   200,
12.7,  3.84,     8.16,     1.0,       0.04,    0.04,    13200,   200,
5.79,  3.92,     8.08,     1.0,       0.04,    0.04,    13400,   200,
-4.4,  3.84,     8.08,     1.0,       0.04,    0.04,    13600,   200,
-15.9, 3.68,     8.16,     1.0,       0.04,    0.04,    13830,   40,
-25.7, 3.52,     8.40,     2.0,       0.04,    0.04,    14000,   40,
-36.3, 3.20,     8.64,     1.0,       0.04,    0.04,    14200,   60,
